;0
271;"""Destiny's Child"""
837;"""Girls' Generation"""
449;"""Howlin' Wolf"""
300;"""Howlin' Wolf"", 'Eric Clapton,Steve Winwood,Bill Wyman,Charlie Watts"
775;"""I'm Blue"""
562;"""Israel Kamakawiwo'ole"""
324;"""Jane's Addiction"""
589;"""K'NAAN"", 'Adam Levine"
62;"""Marcel's"""
508;"""Oscar D'León"""
900;"""Plain White T's"""
209;"""Screamin' Jay Hawkins"""
301;"""Sergio Mendes & Brasil '66"""
391;"""The B-52's"""
411;"""The Go-Go's"""
851;"""The Mowgli's"""
816;11:11
875;21 Savage
893;2Pac,Richie Rich
575;2nd South Carolina String Band
723;5 Seconds of Summer
972;6ix9ine,Anuel AA
950;6ix9ine,Fetty Wap,A Boogie Wit da Hoodie
947;6ix9ine,Nicki Minaj,Kanye West
862;A-Lin
732;A-Mei Chang
913;A.CHAL
880;A.R. Rahman,Javed Ali,Mohit Chauhan
450;APO Hiking Society
609;Aaron Kwok,Beta Soul
39;Aarti Mukherji,Amit Kumar
978;Agust D,NiiHWA
256;Akira Kobayashi
572;Al Green
650;Alan Jackson
285;Alan Tam
143;Alberto Beltran
49;Alberto Gomez
899;Alec Benjamin
338;Alice Cooper
228;Alvin & The Chipmunks
713;Amedeo Minghi
739;Ana Tijoux
891;Anarbor
118;Anasuya Mukherjee
224;Andre Francis,John Coltrane
627;Andy Lau
821;Andy Law 罗志聪
749;Angela Chang
417;Anita Mui
538;Annabelle Lui
976;Anne-Marie
203;Annette Funicello
410;Anoushirvan Rohani
850;Anthony Amorim
476;Aphex Twin
30;Apocolothoth
207;Archie Shepp
929;Arctic Monkeys
973;Arizona Zervas
909;Arsenal Efectivo
603;Art Neville
83;Arun Kumar
13;Asha Bhosle
54;Ashik Hussain
71;Athanase Sika
648;Atmosphere
876;Axel
721;Azealia Banks
938;Azealia Banks,Lazy Jay
593;B2K
952;BIGBANG
814;BTS
191;Babatunde Olatunji
984;Bad Bunny
939;Bad Bunny,Bryant Myers
860;Bad Religion
963;Banda MS de Sergio Lizárraga
126;Bando Da Luna,Carmen Miranda
942;Bankrol Hayden
82;Bashir Qawal
822;Basil Valdez
673;Bay City Rollers
974;Bazzi
563;Bebel Gilberto
