;artists;Title;Title language;Artist name language;Artist name language ISO;Artist name language FULL;Title language ISO;Title language FULL
4;Frédéric Chopin,Vladimir Horowitz;Polonaise-Fantaisie in A-Flat Major, Op. 61;['fr', 'french'];['en', 'english'];en;english;fr;french
6;Franz Liszt,Vladimir Horowitz;Valse oubliée No. 1 in F-Sharp Major, S. 215/1;['fr', 'french'];['en', 'english'];en;english;fr;french
49;Franz Liszt,Vladimir Horowitz;Danse macabre, S. 555 (after Camille Saint-Saens);['fr', 'french'];['en', 'english'];en;english;fr;french
168;Manuel Ponce,Andrés Segovia;Suite in A major: Allemande;['fr', 'french'];['es', 'spanish'];es;spanish;fr;french
221;Marcelle Bordas;La Femme À Barbe;['fr', 'french'];['pt', 'portuguese'];pt;portuguese;fr;french
281;Carl Verheyen;Big Sur;['fr', 'french'];['nl', 'dutch'];nl;dutch;fr;french
292;Marianne Oswald;Jeu De Massacre;['fr', 'french'];['de', 'german'];de;german;fr;french
334;Jeanette Mcdonald;Pardon Me, Madame;['fr', 'french'];['en', 'english'];en;english;fr;french
490;Maurice Ravel,Oscar Levant;Sonatine, M. 40: II. Mouvement de menuet;['fr', 'french'];['en', 'english'];en;english;fr;french
505;Charles Koechlin,Bidu Sayão;Si tu le veux!;['fr', 'french'];['zh-CN', 'chinese (simplified)'];zh-CN;chinese (simplified);fr;french
506;Johann Sebastian Bach,Oscar Levant;Partita No. 1 in B-Flat Major, BWV 825: II. Allemande;['fr', 'french'];['en', 'english'];en;english;fr;french
509;Claude Debussy,Arturo Toscanini;La Mer, L. 109: I. De l'aube à midi sur la mer;['fr', 'french'];['en', 'english'];en;english;fr;french
521;Franz Liszt,Oscar Levant;Valses oubliées, S. 215, No. 1;['fr', 'french'];['en', 'english'];en;english;fr;french
527;Reynaldo Hahn,Bidu Sayão,Paul Breisach,Columbia Concert Orchestra;Si mes vers avaient des ailes;['fr', 'french'];['pt', 'portuguese'];pt;portuguese;fr;french
544;Claude Debussy,Arturo Toscanini;Images, L. 122, 2. Ibéria: I. Par les rues et par les chemins;['fr', 'french'];['en', 'english'];en;english;fr;french
569;Darius Milhaud,Pierre Monteux;"Suite symphonique, No. 2, Op. 57 ""Protée"": V. Final - Vif";['fr', 'french'];['fr', 'french'];fr;french;fr;french
597;Johann Sebastian Bach,William Kapell;Allemande (beginning);['fr', 'french'];['de', 'german'];de;german;fr;french
614;Johann Sebastian Bach,William Kapell;Partita No.4 in D Major, BWV 828: Ouverture;['fr', 'french'];['de', 'german'];de;german;fr;french
617;AmáΙia Rodrigues;La Femme Du Berger;['fr', 'french'];['pt', 'portuguese'];pt;portuguese;fr;french
645;Édouard Lalo,Pierre Monteux,Yehudi Menuhin;Symphonie espagnole pour violon et orchestre in D Minor, Op. 21: V. Rondo - Allegro;['fr', 'french'];['fr', 'french'];fr;french;fr;french
646;Johann Sebastian Bach,William Kapell;Suite in A Minor, BWV 818: Allemande;['fr', 'french'];['de', 'german'];de;german;fr;french
654;Igor Stravinsky,Eugene Istomin;Sonata pour Piano: III. Quarter Note = 112;['fr', 'french'];['en', 'english'];en;english;fr;french
661;Maurice Ravel,Pierre Monteux;Valses nobles et sentimentales, M. 61: V. Presque lent;['fr', 'french'];['fr', 'french'];fr;french;fr;french
684;Jacques Ibert,Pierre Monteux;Escales: II. Tunis - Nefta - Modéré, très rythmé;['fr', 'french'];['fr', 'french'];fr;french;fr;french
705;Buck Clayton;Blues Triste;['fr', 'french'];['en', 'english'];en;english;fr;french
715;Claude Debussy,Robert Casadesus;Préludes, Livre 2, L. 123: 4. Les fées sont d'exquises danseuses. Rapide et léger;['fr', 'french'];['en', 'english'];en;english;fr;french
732;"Igor Stravinsky,Paul Pasquier', ""L'Orchestre de la Suisse Romande"", 'Ernest Ansermet";Oedipus Rex - Actus secundus: Et maintenant, vous allez entendre;['fr', 'french'];['fr', 'french'];fr;french;fr;french
734;"Igor Stravinsky', ""L'Orchestre de la Suisse Romande"", 'Ernest Ansermet";The Firebird (L'oiseau de feu) - Suite (1919): Round Dance of the Princesses;['fr', 'french'];['fr', 'french'];fr;french;fr;french
740;Georges Auric,Roger Desormières;Belle retourne auprès de la Bête - Version originale de 1946;['fr', 'french'];['fr', 'french'];fr;french;fr;french
777;Maurice Ravel,Robert Casadesus;Gaspard de la Nuit, M. 55: III. Scarbo;['fr', 'french'];['fr', 'french'];fr;french;fr;french
789;Maurice Ravel,Robert Casadesus,Gaby Casadesus;Ma mère l'Oye, M. 60: I. Pavane de la Belle au bois dormant;['fr', 'french'];['fr', 'french'];fr;french;fr;french
824;Maurice Ravel,Robert Casadesus;Le tombeau de Couperin, M. 68: III. Forlane;['fr', 'french'];['fr', 'french'];fr;french;fr;french
857;Igor Stravinsky,Concertgebouworkest,Eduard van Beinum;Le Sacre du Printemps / Part 1: L'Adoration de la Terre: 3. Jeu du rapt;['fr', 'french'];['nl', 'dutch'];nl;dutch;fr;french
