;artists;Title;popularity;Title language FULL;rank;Language Specific Popularity
196;Federico Moreno Torroba,Vicente Gomez,Guillermo Gomez;Fandanguillo;0;chinese (simplified);1.0;1.0
118964;Issachar Miron,Yechiel Haggiz,Julius Grossman,Richard Tucker,Sholom Secunda;Shir Hacheirut (Song of Liberation);0;chinese (simplified);1.0;1.0
118695;紫薇;願嫁漢家郎;0;chinese (simplified);1.0;1.0
33557;Lata Mangeshkar;Piya Main To Huyi Bawri;0;chinese (simplified);1.0;1.0
118689;崔萍;要問問你;0;chinese (simplified);1.0;1.0
118682;紫薇;憶良人;0;chinese (simplified);1.0;1.0
118614;崔萍;重逢;0;chinese (simplified);1.0;1.0
118356;葛蘭;胭脂虎;0;chinese (simplified);1.0;1.0
33473;Mayukh Hazarika;Jiri Jiri Je;0;chinese (simplified);1.0;1.0
118173;周璇;夢;0;chinese (simplified);1.0;1.0
117905;Kalyani,Kantilal;Pa Li Maine Pa Li;0;chinese (simplified);1.0;1.0
117504;Jack Jackson & His Orchestra;Ding! Dong! Ding!;0;chinese (simplified);1.0;1.0
117421;Damia;J'ai Bu;0;chinese (simplified);1.0;1.0
117202;Stratos Pagioumtzis;Ta soferakia;0;chinese (simplified);1.0;1.0
117155;Sotiris Stasinopoulos;Tzane M Potame Mou;0;chinese (simplified);1.0;1.0
33608;Asha Bhosle;Jin Dhyao Tin Payo;0;chinese (simplified);1.0;1.0
116930;Pontsho Loco,Toy,Proditjie;Dia Bowa;0;chinese (simplified);1.0;1.0
33110;Sheela;O Banke Topi Wale Ji;0;chinese (simplified);1.0;1.0
32937;Asha Bhosle;Gum Gai Gum Gai;0;chinese (simplified);1.0;1.0
32908;Charlie Chaplin;A Paris Boulevard - Cancan Version;0;chinese (simplified);1.0;1.0
32838;張琍敏;採檳榔;0;chinese (simplified);1.0;1.0
32685;Nikolai Rimsky-Korsakov,Vitya Vronsky,Victor Babin;Sadko: Cradle Song;0;chinese (simplified);1.0;1.0
109360;張琍敏;好春宵;0;chinese (simplified);1.0;1.0
109164;崔萍;我在靜靜等你;0;chinese (simplified);1.0;1.0
109120;崔萍;春的夢;0;chinese (simplified);1.0;1.0
108969;Chinmoy Lahiri;Mago Namami Tang Tarini;0;chinese (simplified);1.0;1.0
108875;Sujan Majhi,Girin Chakraborty;Kutil Samayer Banshi Re;0;chinese (simplified);1.0;1.0
16242;George Mutoo and His Demerara Orchestra,Roaring Lion;Suzi-Qu;0;chinese (simplified);1.0;1.0
16461;Kamala Jharia;Sun Ri Sakhi;0;chinese (simplified);1.0;1.0
16644;崔萍;夜茫茫;0;chinese (simplified);1.0;1.0
16661;崔萍;壞東西;0;chinese (simplified);1.0;1.0
33420;Hesen Zîrek;Turan;0;chinese (simplified);1.0;1.0
33624;Lata Mangeshkar,C. Ramchandra;Zor Laga Le;0;chinese (simplified);1.0;1.0
64043;Lata Mangeshkar;Nako Bolu Re;0;chinese (simplified);1.0;1.0
126644;M. Hershman;R'zei adoshem elohenyi;0;chinese (simplified);1.0;1.0
137293;Sotiris Stasinopoulos;Mori tosupitsa tou papa;0;chinese (simplified);1.0;1.0
137256;Mestizo musicians of Jauja with bass and flutes;Chunguinada (Mestizo Dance);0;chinese (simplified);1.0;1.0
136996;張琍敏;月落烏啼;0;chinese (simplified);1.0;1.0
136975;張琍敏;恨不鍾情在當年;0;chinese (simplified);1.0;1.0
136719;崔萍;跟你伴侶相對;0;chinese (simplified);1.0;1.0
136706;紫薇;得不到的愛情;0;chinese (simplified);1.0;1.0
136642;NNN;///;0;chinese (simplified);1.0;1.0
63265;周璇;兩條路上;0;chinese (simplified);1.0;1.0
136523;Pran;Dol Gai Han Dol Gai;0;chinese (simplified);1.0;1.0
136509;葛蘭;金玉盟;0;chinese (simplified);1.0;1.0
136412;Shobhana Samarth,Kantilal;Ada Se Tan Ke Baiyhe Hai;0;chinese (simplified);1.0;1.0
136083;Apocolothoth;________;0;chinese (simplified);1.0;1.0
